,Smoke,Vape,Concentrate,Dab
18-20,0.7686567164179104,0.19776119402985073,0.009328358208955223,0.024253731343283583
21-25,0.6365830115830116,0.28233590733590735,0.06805019305019305,0.013030888030888031
26-30,0.6036036036036037,0.3548163548163548,0.03395703395703396,0.007623007623007623
31-35,0.5403028822667318,0.4044943820224719,0.04592085979482169,0.009281875915974597
36-40,0.5459837019790454,0.44412107101280557,0.004656577415599534,0.005238649592549476
41-45,0.31835786212238576,0.6607281177381874,0.020914020139426802,0.0
46-50,0.17398373983739837,0.8048780487804879,0.02113821138211382,0.0
51-55,0.5055555555555555,0.4777777777777778,0.016666666666666666,0.0
56-60,0.2702702702702703,0.6396396396396397,0.08108108108108109,0.009009009009009009
61-65,0.125,0.875,0.0,0.0
